genome	dpa	rep	percentage_oil_content
A2	10	1	4.353808354
A2	10	2	NA
A2	10	3	NA
A2	20	1	8.521303258
A2	20	2	3.3203125
A2	20	3	2.661064426
A2	30	1	7.299270073
A2	30	2	6.218905473
A2	30	3	11.44219309
A2	40	1	16.52360515
A2	40	2	9.771986971
A2	40	3	14.85451761
D5	10	1	5.492424242
D5	10	2	NA
D5	10	3	2.921195652
D5	20	1	6.463195691
D5	20	2	3.045685279
D5	20	3	3.978052126
D5	30	1a	18.43191197
D5	30	1b	20.35060976
D5	30	2a	16.89291101
D5	30	2b	18.11740891
D5	30	3	13.51540616
D5	40	1	23.08830784
D5	40	2	19.83558179
D5	40	3	20.96242584
AD1	10	1	5.034324943
AD1	10	2	5.295315682
AD1	10	3	4.822335025
AD1	20	1	20.2020202
AD1	20	2	2.965864578
AD1	20	3	2.875399361
AD1	30	1	24.19655172
AD1	30	2a	22.0943734
AD1	30	2b	16.41631702
AD1	40	1	22.79742394
AD1	40	2	25.12643678
AD1	40	3	19.57484277
AD3	10	1	2.352941176
AD3	10	2	6.19266055
AD3	10	3	4.928131417
AD3	20	1	7.300884956
AD3	20	2	4.712041885
AD3	20	3	2.204408818
AD3	30	1	16.66304348
AD3	30	2	12.63463533
AD3	30	3	11.11436472
AD3	40	1	15.05314741
AD3	40	2	17.99651
AD3	40	3	13.73973013
Yuc	10	1	6.830601093
Yuc	10	2	2.623056995
Yuc	10	3	7.507507508
Yuc	20	1	2.666666667
Yuc	20	2	3.956043956
Yuc	20	3	2.765647744
Yuc	30	1	5.906937394
Yuc	30	2	16
Yuc	30	3	8.5
Yuc	40	1	20.59877551
Yuc	40	2	19.81468282
Yuc	40	3	18.2999466
