genome	DPA	plant	weight	tag
AD1	40	58	0.2	o
AD1	40	55	0.2	o
AD1	40	202	0.2	o
AD1	40	124	0.244	2015
AD1	30	58	NA	o
AD1	30	200	NA	o
AD1	30	202	NA	o
AD1	30	125&122	0.23	2015
AD1	30	125&122	0.24	2015
AD1	30	125&122	0.23	2015
AD1	20	58	0.149	o
AD1	20	200	0.1325	o
AD1	20	202	0.216666667	o
AD1	10	58	0.018571429	o
AD1	10	200	0.013478261	o
AD1	10	11	0.013913043	o
A2	10	4+5+10+32	0.003076923	o
A2	20	block1	0.0825	o
A2	20	5	0.062	o
A2	20	3rubisco	0.0875	o
A2	30	1	0.11	o
A2	30	32	0.126666667	o
A2	30	7	0.0875	o
A2	40	block1	0.11	o
A2	40	10	0.1	o
A2	40	6	0.112	o
D5	10	10	0.002592593	o
D5	10	101	0.011111111	o
D5	10	2	0.0032	o
D5	10	2	0.0048	o
D5	10	2	0.003333333	o
D5	20	2	0.042857143	o
D5	20	2	0.04	o
D5	20	2	0.0375	o
D5	30	2	0.053333333	o
D5	30	105	0.046666667	o
D5	30	2	0.0425	o
D5	40	2	0.05	o
D5	40	2	0.046	o
D5	40	2	0.052	o
